USER_STATE,HOTEL_STATE,Trip Type,Rating
AK,AZ,2.6666666666666665,3.6666666666666665
AK,CA,4.0,2.0
AK,CO,5.0,4.0
AK,FL,2.0,4.0
AK,MI,2.0,3.0
AK,NC,3.5,3.5
AK,NM,3.0,4.0
AK,TX,4.333333333333333,3.3333333333333335
AK,WA,3.0,4.0
AL,AZ,4.0,4.0
AL,FL,1.6666666666666667,4.0
AL,GA,2.625,4.625
AL,IN,1.0,3.3333333333333335
AL,KS,4.0,4.0
AL,KY,4.0,3.0
AL,NC,3.0,4.0
AL,NE,4.0,5.0
AL,NM,1.0,4.0
AL,OH,3.0,3.0
AL,OR,4.0,3.0
AL,TN,1.2,3.4
AL,TX,2.3333333333333335,4.333333333333333
AL,WA,4.0,4.0
AL,WI,1.0,3.0
AR,AZ,2.6666666666666665,3.6666666666666665
AR,CA,3.4,3.2
AR,CO,2.0,3.5
AR,FL,3.0,4.5
AR,GA,1.0,4.0
AR,KS,3.3333333333333335,3.0
AR,MD,3.0,4.0
AR,MI,3.0,5.0
AR,NC,3.0,3.0
AR,NE,3.0,3.0
AR,NM,2.0,4.5
AR,NV,2.0,4.0
AR,OK,2.375,3.875
AR,TN,1.9,3.6
AR,TX,1.7142857142857142,4.142857142857143
AR,VA,3.0,3.0
AR,WI,4.0,2.0
AZ,AZ,2.6164383561643834,3.4246575342465753
AZ,CA,2.71875,3.25
AZ,CO,3.0,4.0
AZ,GA,3.0,3.0
AZ,IN,3.0,4.0
AZ,KS,4.0,4.0
AZ,NE,3.0,4.0
AZ,NM,2.176470588235294,3.4705882352941178
AZ,NV,3.2,4.6
AZ,OH,2.909090909090909,3.3636363636363638
AZ,OK,2.0,3.0
AZ,OR,2.25,3.5
AZ,TN,2.75,3.0
AZ,TX,3.076923076923077,3.4871794871794872
AZ,VA,3.0,1.0
AZ,WA,2.0,5.0
AZ,WI,3.0,2.5
CA,AZ,2.65625,3.71875
CA,CA,2.70042194092827,3.5063291139240507
CA,CO,2.8461538461538463,3.769230769230769
CA,FL,3.25,3.875
CA,GA,3.2,3.6
CA,IL,3.0,4.0
CA,IN,3.0,3.5
CA,KS,2.5,4.0
CA,KY,3.2222222222222223,3.5555555555555554
CA,MA,4.0,5.0
CA,MD,3.0,5.0
CA,MI,4.0,4.0
CA,MN,3.0,4.0
CA,NC,3.2222222222222223,3.6666666666666665
CA,NE,3.2857142857142856,3.142857142857143
CA,NM,3.0384615384615383,3.5
CA,NV,3.1904761904761907,3.2857142857142856
CA,OH,3.1,3.8
CA,OK,3.0,4.333333333333333
CA,OR,2.8,3.8666666666666667
CA,TN,2.75,3.125
CA,TX,3.0543478260869565,3.5869565217391304
CA,WA,2.5,3.625
CA,WI,3.3333333333333335,4.166666666666667
CO,AZ,2.769230769230769,3.3076923076923075
CO,CA,2.7777777777777777,3.6666666666666665
CO,CO,2.5833333333333335,3.4166666666666665
CO,FL,2.6666666666666665,4.333333333333333
CO,IL,3.0,3.5
CO,IN,2.142857142857143,2.5714285714285716
CO,KS,2.857142857142857,3.7142857142857144
CO,KY,3.0,4.0
CO,MN,3.25,3.25
CO,NC,3.0,2.5
CO,NE,2.375,3.0
CO,NM,2.8461538461538463,3.3076923076923075
CO,NV,2.909090909090909,3.8181818181818183
CO,OH,3.0,3.0
CO,OK,3.3333333333333335,4.0
CO,OR,3.0,4.0
CO,TN,2.6666666666666665,2.5555555555555554
CO,TX,2.967741935483871,3.4838709677419355
CO,WI,3.0,3.2
CT,CA,2.6666666666666665,3.0
CT,CO,3.0,3.0
CT,MA,1.0,5.0
CT,NC,2.0,3.6
CT,TN,2.0,3.0
CT,TX,3.0,4.666666666666667
CT,WI,2.0,4.0
DC,AZ,3.3333333333333335,4.0
DC,CA,2.7142857142857144,3.7142857142857144
DC,CO,3.0,3.5
DC,GA,2.5,3.5
DC,IN,2.5,3.0
DC,KS,4.0,4.0
DC,KY,3.0,4.5
DC,MD,3.0,3.0
DC,MI,2.0,5.0
DC,MN,3.5,4.5
DC,NC,3.5,4.0
DC,NM,3.0,3.6666666666666665
DC,NV,2.0,4.0
DC,OH,2.0,5.0
DC,TN,3.0,3.6666666666666665
DC,TX,3.375,3.25
DC,VA,2.0,3.6666666666666665
DC,WA,3.5,3.0
DE,IN,2.0,4.0
DE,NC,1.5,3.5
FL,AZ,2.625,3.25
FL,CA,3.111111111111111,4.222222222222222
FL,CO,2.3333333333333335,3.6666666666666665
FL,FL,2.857142857142857,3.8
FL,GA,2.8666666666666667,3.533333333333333
FL,IL,3.0,4.0
FL,IN,2.75,4.25
FL,KS,2.5,4.0
FL,KY,3.0,4.0
FL,MA,4.0,4.0
FL,MI,2.25,3.75
FL,MN,3.25,3.5
FL,NC,2.9285714285714284,3.9285714285714284
FL,NE,2.6666666666666665,2.6666666666666665
FL,NM,2.7777777777777777,3.7777777777777777
FL,NV,2.6,4.0
FL,NY,3.0,5.0
FL,OH,3.0,3.8333333333333335
FL,OK,2.857142857142857,4.0
FL,OR,2.6666666666666665,4.0
FL,TN,2.909090909090909,4.0
FL,TX,3.239130434782609,3.4347826086956523
FL,WA,2.6666666666666665,4.0
FL,WI,3.0,4.0
GA,AZ,3.1666666666666665,3.9166666666666665
GA,CA,2.357142857142857,3.642857142857143
GA,CO,2.25,4.0
GA,FL,2.142857142857143,3.857142857142857
GA,GA,2.7777777777777777,4.333333333333333
GA,IL,3.0,3.0
GA,IN,2.0,4.666666666666667
GA,KS,2.0,4.0
GA,MA,1.0,3.0
GA,MD,3.0,1.0
GA,MI,2.25,3.0
GA,MN,4.0,5.0
GA,NC,2.92,3.28
GA,NE,3.0,4.0
GA,NM,3.0,3.25
GA,NV,1.5,4.0
GA,OH,2.6666666666666665,3.1666666666666665
GA,OK,3.25,4.25
GA,OR,3.25,3.75
GA,TN,3.2,3.8
GA,TX,2.78125,3.875
GA,VA,4.0,4.0
GA,WA,3.0,3.0
GA,WI,3.0,4.0
HI,AZ,1.5,4.0
HI,CA,1.75,3.0
HI,GA,2.5,1.5
HI,NE,5.0,4.0
HI,NM,2.0,5.0
HI,NV,1.0,4.0
HI,OK,2.0,3.0
HI,TN,2.0,4.0
HI,TX,3.0,3.5
HI,WA,1.0,3.0
IA,AZ,2.0,3.0
IA,CA,3.0,3.0
IA,GA,3.0,2.6666666666666665
IA,IN,3.0,5.0
IA,KS,1.0,3.0
IA,KY,3.5,2.5
IA,MI,3.0,4.0
IA,MN,3.0,3.5
IA,NE,1.25,4.25
IA,OK,1.0,4.0
IA,TN,2.0,5.0
IA,TX,2.1666666666666665,4.0
ID,AZ,1.0,3.0
ID,GA,3.0,3.0
ID,NM,3.0,4.0
ID,NV,1.0,4.0
ID,TX,3.0,4.0
ID,WA,1.0,3.5
IL,AZ,3.0,3.0476190476190474
IL,CA,2.75,3.4166666666666665
IL,CO,3.2,3.0
IL,FL,1.0,4.0
IL,GA,2.0,3.0
IL,IN,2.3636363636363638,3.8181818181818183
IL,KY,1.8181818181818181,3.090909090909091
IL,MN,2.6666666666666665,3.3333333333333335
IL,NC,2.2,4.2
IL,NE,4.0,4.0
IL,NM,3.1,3.7
IL,NY,3.0,4.0
IL,OH,2.375,3.5
IL,OK,1.5714285714285714,3.5714285714285716
IL,OR,4.0,4.0
IL,TN,2.8333333333333335,4.0
IL,TX,2.772727272727273,3.5
IL,VA,2.0,2.5
IL,WA,3.1666666666666665,3.1666666666666665
IL,WI,3.2857142857142856,3.2857142857142856
IN,AZ,2.0,4.5
IN,CA,2.6666666666666665,4.0
IN,GA,1.0,3.0
IN,IN,2.5,3.85
IN,KY,3.5,4.25
IN,MI,2.3333333333333335,4.0
IN,NM,2.2,3.6
IN,OH,1.8333333333333333,3.5
IN,OK,4.0,2.0
IN,PA,5.0,5.0
IN,TN,1.5,4.25
IN,TX,2.8333333333333335,3.6666666666666665
KS,AZ,2.2,3.8
KS,CA,3.6666666666666665,3.0
KS,CO,4.333333333333333,2.6666666666666665
KS,FL,3.0,3.5
KS,GA,3.4,3.2
KS,IN,2.75,4.25
KS,KS,2.689655172413793,3.8275862068965516
KS,KY,2.0,5.0
KS,NC,3.0,4.0
KS,NE,3.0,3.5
KS,NM,1.6666666666666667,3.6666666666666665
KS,OH,3.0,3.5
KS,OK,2.388888888888889,3.888888888888889
KS,TN,4.0,2.0
KS,TX,2.3636363636363638,3.3636363636363638
KS,VA,4.5,3.5
KS,WI,4.0,4.0
KY,CA,2.25,3.5
KY,FL,3.0,5.0
KY,GA,2.6666666666666665,4.333333333333333
KY,IN,1.75,3.75
KY,KS,3.0,4.0
KY,KY,2.5,4.083333333333333
KY,MD,4.0,4.0
KY,NC,2.75,4.25
KY,NM,3.0,4.0
KY,OH,1.5,4.5
KY,OK,1.0,3.0
KY,OR,3.0,5.0
KY,TN,1.1111111111111112,4.111111111111111
KY,TX,2.5833333333333335,3.6666666666666665
KY,VA,4.0,4.0
LA,AZ,3.0,4.0
LA,CA,3.0,3.0
LA,FL,3.0,3.5
LA,GA,3.0,5.0
LA,IN,3.0,2.0
LA,KS,4.0,4.0
LA,KY,3.0,4.0
LA,OK,3.0,3.0
LA,OR,3.0,3.0
LA,TN,3.2857142857142856,3.5714285714285716
LA,TX,2.8461538461538463,3.3846153846153846
MA,AZ,2.5,3.75
MA,CA,3.0,3.5
MA,CO,2.0,3.0
MA,FL,2.5,5.0
MA,KS,2.0,4.0
MA,KY,4.0,4.0
MA,NC,3.0,4.0
MA,NE,3.0,4.5
MA,NM,3.0,4.0
MA,NV,5.0,4.0
MA,OK,3.0,4.666666666666667
MA,TN,3.2,3.6
MA,TX,2.6666666666666665,3.5833333333333335
MA,VA,3.0,4.0
MA,WA,3.0,3.0
MD,AZ,3.0,3.6666666666666665
MD,CA,2.8333333333333335,3.1666666666666665
MD,CO,3.6666666666666665,3.6666666666666665
MD,FL,2.6,4.0
MD,GA,3.142857142857143,3.4285714285714284
MD,IN,3.0,4.0
MD,KS,2.25,4.0
MD,KY,3.0,3.5
MD,MD,4.0,3.0
MD,MI,2.0,5.0
MD,NC,3.0,3.0
MD,NE,1.0,3.0
MD,NM,2.0,4.5
MD,NY,3.0,4.0
MD,OH,3.0,3.6666666666666665
MD,OK,3.0,4.0
MD,OR,3.5,3.0
MD,TN,3.0,4.5
MD,TX,3.1666666666666665,3.8333333333333335
MD,VA,4.5,2.0
ME,CA,3.0,5.0
ME,KY,3.0,3.0
ME,NM,4.0,4.0
ME,NV,2.0,4.5
MI,AZ,3.0,4.0
MI,CA,3.0,3.4
MI,CO,4.25,2.75
MI,FL,2.4,4.2
MI,GA,2.2,3.8
MI,IN,2.6666666666666665,3.8666666666666667
MI,KS,3.0,4.0
MI,KY,3.2857142857142856,3.5714285714285716
MI,MI,3.0,4.0
MI,MN,3.5,5.0
MI,NC,2.5555555555555554,3.3333333333333335
MI,NE,3.0,5.0
MI,NM,3.0,4.333333333333333
MI,NV,4.0,4.5
MI,OH,3.0,3.0
MI,OK,3.0,4.0
MI,OR,4.0,4.0
MI,TN,3.25,3.75
MI,TX,3.125,3.125
MI,VA,3.0,4.0
MI,WA,5.0,1.0
MI,WI,3.0,3.0
MN,AZ,2.8,3.6
MN,CA,2.7,3.6
MN,CO,3.4,3.2
MN,FL,3.0,4.0
MN,GA,1.6666666666666667,4.666666666666667
MN,IN,3.0,3.5
MN,KS,3.2857142857142856,3.0
MN,KY,4.0,3.0
MN,MI,2.0,3.0
MN,MN,3.5,3.5
MN,NC,3.125,3.625
MN,NE,2.933333333333333,4.0
MN,NM,3.1666666666666665,2.8333333333333335
MN,NY,3.0,4.0
MN,OH,3.0,3.0
MN,OK,3.0,3.75
MN,TN,3.0,4.0
MN,TX,2.9375,3.1875
MN,WA,3.6666666666666665,3.3333333333333335
MN,WI,3.0,3.2
MO,AZ,5.0,3.0
MO,CA,2.3333333333333335,3.0
MO,CO,4.0,3.0
MO,GA,1.5,4.0
MO,IN,2.5454545454545454,2.909090909090909
MO,KS,3.0,3.4285714285714284
MO,KY,1.5,4.0
MO,MN,2.0,3.0
MO,NM,2.0,2.5
MO,NV,2.5,4.0
MO,OH,2.4,4.0
MO,OK,2.4545454545454546,3.727272727272727
MO,OR,2.6666666666666665,2.3333333333333335
MO,TN,2.142857142857143,3.5714285714285716
MO,TX,2.8333333333333335,3.3333333333333335
MO,WI,2.0,3.0
MS,IL,3.0,3.0
MS,IN,4.0,5.0
MS,KY,3.0,3.0
MS,MI,3.0,4.0
MS,NC,4.0,5.0
MT,AZ,3.0,2.0
MT,CA,3.0,4.0
MT,KS,2.0,5.0
MT,MN,3.0,5.0
MT,NE,1.0,3.0
MT,OK,3.0,4.0
MT,TN,1.0,4.0
MT,TX,2.75,3.25
MT,WA,3.0,4.0
NC,AZ,3.75,4.25
NC,CA,3.0,3.5
NC,FL,2.75,3.25
NC,GA,2.6363636363636362,3.8181818181818183
NC,IL,5.0,2.0
NC,IN,1.3333333333333333,3.6666666666666665
NC,KS,3.0,2.0
NC,KY,3.0,3.0
NC,MD,2.0,2.5
NC,MN,3.5,4.5
