"주요품목별(1)",2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09,2021. 10,2021. 11,2021. 12,2022. 01,2022. 02,2022. 03,2022. 04,2022. 05,2022. 06,2022. 07,2022. 08,2022. 09,2022. 10,2022. 11,2022. 12,2023. 01,2023. 02,2023. 03
"쌀",97.09,96.28,96.80,95.61,97.48,97.21,98.49,100.79,105.70,108.01,108.34,109.04,109.36,109.28,108.78,108.31,108.64,109.13,109.70,108.80,107.07,105.38,104.56,102.45,101.37,101.13,98.62,96.11,95.25,93.16,91.26,89.67,88.25,93.14,92.39,92.25,92.96,92.31
"돼지고기",82.09,89.98,93.91,105.05,108.84,108.37,108.25,104.54,108.15,101.99,104.57,102.48,99.85,98.47,102.93,109.01,113.12,114.16,116.56,117.25,116.71,112.89,117.06,111.04,109.54,106.11,106.80,132.39,136.05,128.35,123.99,129.11,121.75,119.17,118.89,117.37,110.47,109.06
"국산쇠고기",97.24,96.32,97.99,98.46,101.79,100.46,100.67,102.90,102.99,102.03,103.13,105.33,105.44,106.02,107.01,106.01,106.82,107.42,107.67,110.52,113.38,113.50,111.34,111.19,111.67,111.16,110.33,108.20,108.50,109.27,109.06,111.69,111.68,109.53,107.47,107.84,102.98,101.49
"우유",100.03,100.03,100.03,100.10,100.10,99.69,99.94,99.94,100.05,100.05,100.05,100.09,100.09,100.09,100.08,100.05,100.17,100.01,100.01,100.01,103.83,106.59,106.51,106.83,107.10,107.28,107.28,107.28,107.27,107.02,106.87,106.96,107.08,107.08,115.89,116.30,116.55,116.55
"라면",98.30,100.81,101.27,101.43,100.67,100.14,100.09,100.49,99.24,98.67,99.44,99.06,99.12,99.54,99.74,99.89,100.50,101.24,100.38,109.27,110.17,108.47,108.97,108.40,110.19,106.85,109.61,109.46,108.74,109.79,109.83,113.22,124.14,121.59,121.90,123.20,123.39,122.34
"스낵과자",98.65,99.22,99.78,100.99,99.86,97.20,98.37,100.37,101.29,101.16,102.63,102.36,101.70,99.28,101.92,101.65,103.58,103.09,102.23,100.69,103.09,103.09,103.09,103.12,102.67,105.23,106.70,106.83,106.95,107.13,107.08,107.13,115.07,115.90,116.21,116.84,116.53,115.59
"달걀",97.49,102.43,103.22,99.52,99.28,95.95,97.39,101.88,102.80,99.91,99.57,112.65,135.29,143.32,142.30,153.69,162.41,162.49,158.58,152.31,146.89,143.10,140.86,139.97,132.50,132.08,136.15,139.20,136.93,137.38,135.93,138.12,134.62,138.31,138.79,133.89,129.19,126.84
"닭고기",101.28,102.32,99.08,99.32,98.53,98.43,99.17,103.22,100.04,99.18,99.58,103.76,108.35,108.91,109.09,106.83,102.16,106.28,107.86,107.69,106.61,107.77,104.15,111.29,108.12,116.57,120.23,119.44,121.38,124.25,123.80,120.08,115.86,118.16,129.36,131.98,127.62,127.54
"두부",99.62,99.68,99.83,99.69,99.67,100.63,100.09,99.25,100.30,100.84,101.70,105.79,108.33,107.36,107.54,108.89,109.17,107.50,107.89,107.89,109.17,109.17,109.59,108.92,111.28,115.35,117.00,116.81,117.07,116.99,116.15,115.53,116.42,117.79,121.63,124.01,124.04,121.74
"마른멸치",100.03,100.01,99.68,99.93,99.73,99.89,99.99,99.60,100.12,100.12,99.98,100.05,98.97,98.51,98.61,97.43,97.73,98.62,98.92,96.90,99.03,100.35,99.73,99.78,98.19,101.18,101.46,101.77,101.27,101.91,102.32,101.75,101.64,101.31,102.06,102.66,105.22,105.60
