"계정항목별","금융기관 유형코드별",2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02
"전체 이용건수 (천건)","합계",1235277,1103517,1124803,1129783,1226171,1240145,1254766,1243776,1188972,1221568,1222007,1160358,1106800,1065659,1268493,1262666,1315494,1318726,1334263,1327038,1289028,1352100,1366556,1339269,1282362,1152063,1335121,1378369,1500236,1443682,1486379,1518932,1426030,1506483,1455878,1450646,1391410,1321301
"전체 이용건수 (천건)","은행계",798300,715030,729919,733955,796934,808651,815257,803354,769364,788232,789648,747253,707855,684096,818475,813282,842277,846882,852441,847139,821180,854070,870399,848992,806115,732228,843871,869467,946066,909641,932080,957206,897733,944192,916559,909106,872798,829915
"전체 이용건수 (천건)","비은행계",436977,388487,394884,395828,429237,431494,439509,440422,419608,433336,432359,413105,398945,381563,450018,449384,473216,471844,481821,479899,467848,498030,496157,490277,476247,419835,491250,508902,554170,534041,554300,561726,528297,562292,539319,541540,518612,491386
"개인 이용건수 (천건)","합계",1145817,1017502,1040816,1043333,1139001,1147299,1153958,1152809,1096561,1129801,1127343,1067871,1021955,984769,1170257,1163225,1218286,1215925,1231257,1230648,1196198,1251571,1262803,1233824,1185329,1068085,1235327,1271725,1390201,1334610,1373501,1411083,1321027,1397117,1345037,1339386,1293863,1221100
"개인 이용건수 (천건)","은행계",717850,637529,653511,655435,717706,724429,723820,720411,685234,704833,703758,663105,630974,611113,729820,723459,754174,754057,759476,759858,737472,763666,777289,754417,719137,656963,754419,774010,847255,811745,831096,860514,803939,846405,817824,809984,785832,741195
"개인 이용건수 (천건)","비은행계",427967,379973,387305,387898,421295,422869,430138,432397,411327,424968,423585,404766,390982,373657,440437,439767,464112,461868,471782,470790,458725,487906,485514,479407,466193,411121,480909,497715,542946,522864,542405,550570,517088,550712,527213,529402,508031,479905
"개인 일반구매 이용건수 (천건)","합계",1104642,981542,1002266,1006283,1101262,1109106,1114504,1114578,1056265,1089019,1085930,1027203,983740,949995,1129336,1123763,1176625,1175141,1189660,1190087,1156357,1209462,1217753,1189355,1142523,1030847,1192433,1228431,1343174,1290455,1328767,1365658,1275931,1349002,1297870,1292104,1248652,1180583
"개인 일반구매 이용건수 (천건)","은행계",693533,616181,630677,633754,695844,702562,701301,698739,662215,681537,680380,640154,609586,591578,706533,701357,730901,731184,736224,737284,715222,740408,752270,729926,695807,636416,730738,750406,821688,787810,806903,835821,779254,820456,792142,783602,760994,718895
"개인 일반구매 이용건수 (천건)","비은행계",411109,365361,371590,372529,405417,406544,413203,415839,394050,407482,405549,387049,374154,358417,422803,422406,445724,443956,453437,452804,441136,469054,465484,459430,446716,394431,461695,478026,521485,502645,521863,529836,496676,528546,505727,508502,487658,461688
"개인 할부구매 이용건수 (천건)","합계",35060,30056,32621,31848,32302,32863,34080,32952,35276,35596,36293,35694,33421,30426,35533,34512,36502,35881,36733,35594,35165,37139,40005,39422,38022,32870,37886,38607,41982,39434,39956,40450,40219,42965,42086,42169,40345,35876
"개인 할부구매 이용건수 (천건)","은행계",20188,17394,18851,18209,18231,18295,18927,18161,19671,19842,19979,19662,18253,16697,19728,18901,19892,19637,20030,19293,19122,19973,21660,21143,20196,17665,20359,20526,22254,20842,21092,21414,21476,22558,22314,23012,21605,19234
"개인 할부구매 이용건수 (천건)","비은행계",14872,12662,13770,13640,14071,14568,15154,14791,15605,15755,16314,16033,15168,13728,15805,15611,16610,16244,16703,16301,16043,17165,18345,18279,17826,15205,17527,18081,19728,18593,18864,19036,18743,20407,19773,19157,18740,16642
