"대분류(SB_L_UPJONG_NM)","중분류(SB_M_UPJONG_NM)","내국인업종분류(SB_UPJONG_NM)","내국인업종코드(SB_UPJONG_CD)"
"요식/유흥","한식","한식","sb001"
"요식/유흥","일식/중식/양식","일식","sb002"
"요식/유흥","일식/중식/양식","양식","sb003"
"요식/유흥","일식/중식/양식","중식","sb004"
"요식/유흥","제과/커피/패스트푸드","제과점","sb005"
"요식/유흥","제과/커피/패스트푸드","커피전문점","sb006"
"요식/유흥","제과/커피/패스트푸드","패스트푸드","sb007"
"요식/유흥","기타요식","기타요식","sb008"
"요식/유흥","유흥","노래방","sb009"
"요식/유흥","유흥","기타유흥업소","sb010"
"요식/유흥","유흥","유흥주점","sb011"
"유통","백화점","백화점","sb012"
"유통","할인점/슈퍼마켓","할인점/슈퍼마켓","sb013"
"유통","할인점/슈퍼마켓","슈퍼마켓","sb014"
"유통","할인점/슈퍼마켓","생활잡화","sb015"
"유통","편의점","편의점","sb016"
"유통","기타유통","기타유통","sb017"
"음/식료품","음/식료품","정육점","sb018"
"음/식료품","음/식료품","농수산물","sb019"
"음/식료품","음/식료품","기타음/식료품","sb020"
"의류/잡화","의복/의류","의복/의류","sb021"
"의류/잡화","패션/잡화","패션/잡화","sb022"
"의류/잡화","패션/잡화","시계/귀금속","sb023"
"의류/잡화","패션/잡화","안경","sb024"
"스포츠/문화/레저","스포츠/문화/레저","실내골프/헬스","sb025"
"스포츠/문화/레저","스포츠/문화/레저","실외골프/스키","sb026"
"스포츠/문화/레저","스포츠/문화/레저","종합레저시설","sb027"
"스포츠/문화/레저","스포츠/문화/레저","영화/공연","sb028"
"스포츠/문화/레저","스포츠/문화/레저","스포츠시설","sb029"
"스포츠/문화/레저","스포츠/문화/레저","취미/오락","sb030"
"스포츠/문화/레저","스포츠/문화/레저","서점","sb031"
"스포츠/문화/레저","스포츠/문화/레저용품","스포츠/레저용품","sb032"
"스포츠/문화/레저","스포츠/문화/레저용품","문화용품","sb033"
"스포츠/문화/레저","스포츠/문화/레저용품","화원","sb034"
"여행/교통","숙박","호텔/콘도","sb035"
"여행/교통","숙박","모텔/여관/기타숙박","sb036"
"여행/교통","여행","여행사","sb037"
"여행/교통","여행","면세점","sb038"
"미용","미용서비스","미용실","sb039"
"미용","미용서비스","미용서비스","sb040"
"미용","화장품","화장품","sb041"
"가정생활/서비스","서비스","생활서비스","sb042"
"가정생활/서비스","서비스","세탁소","sb043"
"가정생활/서비스","서비스","업무서비스","sb044"
"가정생활/서비스","인테리어","인테리어","sb045"
"교육/학원","학원","독서실","sb046"
"교육/학원","학원","학원","sb047"
"교육/학원","유아교육","유아교육","sb048"
"교육/학원","교육용품","교육용품","sb049"
"의료","병원","종합병원","sb050"
"의료","병원","일반병원","sb051"
"의료","병원","치과병원","sb052"
"의료","병원","한의원","sb053"
"의료","약국","약국","sb054"
"의료","기타의료","기타의료","sb055"
"가전/가구","가전/가구","가전","sb056"
"가전/가구","가전/가구","가구","sb057"
"가전/가구","가전/가구","기타가전/가구","sb058"
"자동차","자동차판매","자동차판매","sb059"
"자동차","자동차서비스/용품","자동차서비스","sb060"
"자동차","자동차서비스/용품","자동차용품","sb061"
"주유","주유","주유소","sb062"
"주유","주유","LPG","sb063"
